object_id,object_type,task,fold,model,horizon_step,fit_start,fit_end,row_count,config_hash,state_hash,details
cleaning:train:NO2,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,6101142384b24d42ceea065c1f605460ada2241ccae362b805a938621493313c,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""NO2""}"
cleaning:train:CO,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,8e31f890e24263d465647a76420bd5ea3b20c6935fa822a3043aabc687544c95,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""CO""}"
cleaning:train:O3,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,96a0eea9f781ed734218bfe81721349784f10c22bf432e38d8e8986e6d731005,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""O3""}"
cleaning:train:SO2,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,5566258f9d9d32f5add0f5f6864e47b32afc739eafd240d4e5892dc90a3d4399,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""SO2""}"
cleaning:train:temperature,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,b21e4ac0070f0ddb45c432b89e72a954142d0c553ded3e5d50c13ee093402f7f,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""temperature""}"
cleaning:train:pressure_hPa_fixed,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,ca87fc5257d99915a5d8a337ef56f2a6466f133ed5be18850b59f33a3eb8b6db,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""pressure_hPa_fixed""}"
cleaning:train:humidity_clean,deterministic_processing_no_fit,24h_1h,,,,2014-05-01T00:00:00,2015-01-11T11:00:00,6132,60505f755fc89241875c6b1001eaefe90d3c6a9ec97c682fddcb51d64a5e3f75,e88460efe2b9f7f9645e6d1aacc6e4fdb45eb36817e61327d620f76d168b7717,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""train"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""humidity_clean""}"
cleaning:validation:NO2,deterministic_processing_no_fit,24h_1h,,,,2015-01-11T12:00:00,2015-02-16T23:00:00,876,79fb80872d251447ac3643914bb243709b359103b694baa9dcf11b1885d6e49f,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""validation"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""NO2""}"
cleaning:validation:CO,deterministic_processing_no_fit,24h_1h,,,,2015-01-11T12:00:00,2015-02-16T23:00:00,876,bbe3a427811fc504977b4240f206b42be0cf0921780e859cd2ec36848e108b97,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""validation"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""CO""}"
cleaning:validation:O3,deterministic_processing_no_fit,24h_1h,,,,2015-01-11T12:00:00,2015-02-16T23:00:00,876,84c3ec1fc6773599fdee39c615b4b36b06472fefd4c279b59d17bb0cae536ce1,2d82eabdac7d242bcd0acce4d6a089d90348187d863cbe1324ea3a1031e22a8e,"{""max_ffill_hours"": 6, ""object_type"": ""fixed_missing_rule_and_causal_ffill"", ""split"": ""validation"", ""task_config_hash"": ""22bd2de9838bf8da7527d63b923f9bb5f759ec1d478f69b95c15a1a948a3cf82"", ""variable"": ""O3""}"
