station_id,is_center,candidate_neighbor,train_start_row,train_stop_row_exclusive,raw_train_rows,raw_valid_rows,raw_completeness,pairwise_rows,pearson_to_center,threshold,selected_neighbor
1001,False,True,0,6132,6132,6132,1.0,6132,0.7930488433152629,0.85,False
1002,False,True,0,6132,6132,6132,1.0,6132,0.8658357625261242,0.85,True
1003,False,True,0,6132,6132,6132,1.0,6132,0.9015083736703102,0.85,True
1004,False,True,0,6132,6132,6132,1.0,6132,0.8527447223626661,0.85,True
1005,False,True,0,6132,6132,6132,1.0,6132,0.8302169968258852,0.85,False
1006,False,True,0,6132,6132,6132,1.0,6132,0.9261295324302021,0.85,True
1007,False,True,0,6132,6132,6132,1.0,6132,0.9271574104512216,0.85,True
1008,False,True,0,6132,6132,6132,1.0,6132,0.8456172113464834,0.85,False
1009,False,True,0,6132,6132,6132,1.0,6132,0.9203020322865261,0.85,True
1010,False,True,0,6132,6132,6132,1.0,6132,0.9238113383658556,0.85,True
1011,False,True,0,6132,6132,6132,1.0,6132,0.9146839728333616,0.85,True
1012,False,True,0,6132,6132,6132,1.0,6132,0.9254939532603877,0.85,True
1013,True,False,0,6132,6132,6132,1.0,6132,1.0,0.85,False
1014,False,True,0,6132,6132,6132,1.0,6132,0.8859708456193414,0.85,True
1015,False,True,0,6132,6132,6132,1.0,6132,0.9607069909789434,0.85,True
1016,False,True,0,6132,6132,6132,1.0,6132,0.9038683958224462,0.85,True
1017,False,True,0,6132,6132,6132,1.0,6132,0.8363710156488159,0.85,False
1018,False,True,0,6132,6132,6132,1.0,6132,0.8679615549912308,0.85,True
1019,False,True,0,6132,6132,6132,1.0,6132,0.7844977193403716,0.85,False
1020,False,True,0,6132,6132,6132,1.0,6132,0.9636107198266188,0.85,True
1021,False,True,0,6132,6132,6132,1.0,6132,0.9279543978405945,0.85,True
1022,False,True,0,6132,6132,6132,1.0,6132,0.9364880333846215,0.85,True
1023,False,True,0,6132,6132,6132,1.0,6132,0.8826915594881553,0.85,True
1024,False,True,0,6132,6132,6132,1.0,6132,0.8381046594744704,0.85,False
1025,False,True,0,6132,6132,6132,1.0,6132,0.8194735303291224,0.85,False
1026,False,True,0,6132,6132,6132,1.0,6132,0.74891863964642,0.85,False
1027,False,True,0,6132,6132,6132,1.0,6132,0.841605912426281,0.85,False
1028,False,True,0,6132,6132,6132,1.0,6132,0.8238680701282269,0.85,False
1029,False,True,0,6132,6132,6132,1.0,6132,0.7581888888087162,0.85,False
1030,False,True,0,6132,6132,6132,1.0,6132,0.8236831713271271,0.85,False
1031,False,True,0,6132,6132,6132,1.0,6132,0.7368350630979297,0.85,False
1032,False,True,0,6132,6132,6132,1.0,6132,0.7955902614022136,0.85,False
1033,False,True,0,6132,6132,6132,1.0,6132,0.7859593345134194,0.85,False
1034,False,True,0,6132,6132,6132,1.0,6132,0.7278219949332698,0.85,False
1035,False,True,0,6132,6132,6132,1.0,6132,0.6042919976527424,0.85,False
1036,False,True,0,6132,6132,6132,1.0,6132,0.613239703887983,0.85,False
