task,variant,seed,epoch,train_loss,validation_loss,learning_rate
168h_6h,B_flat,2062,1,0.2027536804273157,0.46751275658607483,0.001
168h_6h,B_flat,2062,2,0.20270163877825745,0.467372328042984,0.001
168h_6h,B_flat,2062,3,0.2025208588984013,0.46702340245246887,0.001
168h_6h,B_flat,2062,4,0.2021482264356418,0.4664594531059265,0.001
168h_6h,B_flat,2062,5,0.2016392315763378,0.46556586027145386,0.001
168h_6h,B_flat,2062,6,0.2011264234226129,0.4647175073623657,0.001
168h_6h,B_flat,2062,7,0.20067519533402128,0.46384453773498535,0.001
168h_6h,B_flat,2062,8,0.20033200601790052,0.46362602710723877,0.001
168h_6h,B_flat,2062,9,0.1999829306980971,0.4634365439414978,0.001
168h_6h,B_flat,2062,10,0.1996832609621745,0.4629870057106018,0.001
168h_6h,B_flat,2062,11,0.19936691719946756,0.46298864483833313,0.001
168h_6h,B_flat,2062,12,0.1991326012008641,0.46273577213287354,0.001
168h_6h,B_flat,2062,13,0.1988803421261727,0.46266210079193115,0.001
168h_6h,B_flat,2062,14,0.1986821014112145,0.46255865693092346,0.001
168h_6h,B_flat,2062,15,0.19845632739386357,0.4624533951282501,0.001
168h_6h,B_flat,2062,16,0.19826599277642215,0.46249908208847046,0.001
168h_6h,B_flat,2062,17,0.19808001199121103,0.46245652437210083,0.001
168h_6h,B_flat,2062,18,0.19789329794333832,0.4621371328830719,0.001
168h_6h,B_flat,2062,19,0.19772537749052488,0.46210551261901855,0.001
168h_6h,B_flat,2062,20,0.19758692069689007,0.46221837401390076,0.001
168h_6h,B_flat,2062,21,0.1974195147329858,0.4621722996234894,0.001
168h_6h,B_flat,2062,22,0.19728518066229805,0.4620993435382843,0.0005
168h_6h,B_flat,2062,23,0.19706315087489903,0.46193960309028625,0.0005
168h_6h,B_flat,2062,24,0.19695393686117313,0.46186625957489014,0.0005
168h_6h,B_flat,2062,25,0.1968353062012908,0.4619733989238739,0.0005
168h_6h,B_flat,2062,26,0.19674712334488997,0.4617685079574585,0.0005
168h_6h,B_flat,2062,27,0.19664429250199997,0.46198517084121704,0.0005
168h_6h,B_flat,2062,28,0.19653583282111256,0.4618144631385803,0.0005
168h_6h,B_flat,2062,29,0.19645074939373697,0.46189042925834656,0.0005
168h_6h,B_flat,2062,30,0.19636282887929316,0.4619322717189789,0.00025
