city,history,horizon,winner_arm,winner_arm_mean_rmse_ugm3,best_of_baselines_mean_rmse_ugm3,st_mean_rmse_ugm3,mean_st_minus_best_rmse_ugm3,mean_st_relative_change_vs_best_percent,st_better_direction_count,st_pairing_status
beijing,24,1,multi_gru_matched,19.677170181274413,19.651991653442384,20.879179000854492,1.2271873474121093,6.256513944642828,0/5,available
beijing,24,3,multi_gru_default,29.438310623168945,29.438310623168945,30.610878626505535,1.1725680033365862,3.992807998657078,0/3,available
beijing,24,6,multi_gru_default,39.17989857991537,39.17989857991537,39.91392517089844,0.7340265909830729,1.8788941815075015,0/3,available
beijing,24,12,multi_gru_default,53.19124221801758,51.81842041015625,51.62250645955404,-0.19591395060221353,-0.3556028488344681,1/3,available
beijing,24,24,plain_mix_patchtst_all_default,64.04654947916667,64.00914128621419,64.83150227864583,0.8223609924316406,1.2973193941164602,0/3,available
beijing,48,1,multi_gru_default,19.98920504252116,19.98920504252116,20.820852915445965,0.8316478729248059,4.176736477548624,0/3,available
beijing,48,3,multi_gru_default,29.158253987630207,29.158253987630207,31.138627370198567,1.9803733825683594,6.795378497459445,0/3,available
beijing,48,6,multi_gru_default,38.987894694010414,38.987894694010414,41.83891296386719,2.851018269856771,7.327555317555221,0/3,available
beijing,48,12,multi_gru_default,51.91842905680338,51.91842905680338,55.10486729939779,3.186438242594401,6.132118685989745,0/3,available
beijing,48,24,multi_gru_default,66.61487833658855,65.43197758992513,69.50150807698567,4.069530487060547,6.269225149879721,0/3,available
beijing,72,1,multi_gru_default,19.887282689412434,19.887282689412434,21.10532506306966,1.2180423736572266,6.131185528561892,0/3,available
beijing,72,3,multi_gru_default,29.194020589192707,29.194020589192707,31.27250099182129,2.0784804026285806,7.13432848095572,0/3,available
beijing,72,6,multi_gru_default,39.192559560139976,39.192559560139976,41.39387766520182,2.201318105061849,5.648193063383708,0/3,available
beijing,72,12,multi_gru_default,51.43005625406901,51.43005625406901,55.277825673421226,3.8477694193522134,7.4927672798405025,0/3,available
beijing,72,24,multi_gru_default,63.846197764078774,63.846197764078774,66.30155181884766,2.4553540547688804,3.9714363077625996,0/3,available
beijing,168,1,multi_gru_default,19.938643137613933,19.938643137613933,22.083808263142902,2.145165125528974,10.760937526957603,0/3,available
beijing,168,3,trad_spatial_linear,38.58302307128906,33.792022705078125,31.92355442047119,-1.8684682846069336,-3.6576960634864975,1/2,available
beijing,168,12,multi_gru_default,50.88728713989258,54.14997100830078,55.82678095499674,1.6768099466959636,3.517773352012527,1/3,available
beijing,168,24,multi_gru_default,61.28849792480469,64.02874374389648,69.0337651570638,5.005021413167317,8.158527679726566,1/3,available
